,req_id,timestamp,method_call,response_code,duration,duration_upstream,bytes_sent,bytes_received,downstream_pod_ip,upstream_cluster,upstream_pod_ip
0,4014105114,2022-04-12T17:41:02.315Z,/detect/,200,384,377,43067,20960,ir,inbound|5000||,10.233.65.16
1,4014105114,2022-04-12T17:41:02.340Z,/detect/,200,346,345,60,20885,10.233.65.16,outbound|5001||backend-v2.facedetect-do.svc.cluster.local,10.233.93.22
2,4015105114,2022-04-12T17:41:02.362Z,/detect/,200,331,327,33054,11922,ir,inbound|5000||,10.233.65.16
3,4015105114,2022-04-12T17:41:02.382Z,/detect/,200,296,295,74,11847,10.233.65.16,outbound|5001||backend-v2.facedetect-do.svc.cluster.local,10.233.93.22
4,4017105114,2022-04-12T17:41:02.512Z,/detect/,200,258,253,44857,25183,ir,inbound|5000||,10.233.65.16
5,4018105114,2022-04-12T17:41:02.536Z,/detect/,200,301,292,41300,17925,ir,inbound|5000||,10.233.65.16
6,4017105114,2022-04-12T17:41:02.548Z,/detect/,200,210,209,89,25108,10.233.65.16,outbound|5001||backend-v2.facedetect-do.svc.cluster.local,10.233.93.22
7,4019105114,2022-04-12T17:41:02.564Z,/detect/,200,329,325,35989,13372,ir,inbound|5000||,10.233.65.16
8,4018105114,2022-04-12T17:41:02.600Z,/detect/,200,228,228,73,17850,10.233.65.16,outbound|5001||backend-v2.facedetect-do.svc.cluster.local,10.233.93.22
9,4019105114,2022-04-12T17:41:02.603Z,/detect/,200,270,269,75,13297,10.233.65.16,outbound|5001||backend-v2.facedetect-do.svc.cluster.local,10.233.93.22
10,4020105114,2022-04-12T17:41:02.633Z,/detect/,200,309,305,59098,27532,ir,inbound|5000||,10.233.65.16
11,4020105114,2022-04-12T17:41:02.668Z,/detect/,200,242,240,74,27457,10.233.65.16,outbound|5001||backend-v2.facedetect-do.svc.cluster.local,10.233.93.22
12,4021105114,2022-04-12T17:41:02.799Z,/detect/,200,218,215,44759,18157,ir,inbound|5000||,10.233.65.16
13,4021105114,2022-04-12T17:41:02.814Z,/detect/,200,186,185,73,18082,10.233.65.16,outbound|5001||backend-v2.facedetect-do.svc.cluster.local,10.233.93.22
14,4022105114,2022-04-12T17:41:02.819Z,/detect/,200,190,183,44454,19189,ir,inbound|5000||,10.233.65.16
15,4022105114,2022-04-12T17:41:02.842Z,/detect/,200,148,148,76,19114,10.233.65.16,outbound|5001||backend-v2.facedetect-do.svc.cluster.local,10.233.93.22
16,4023105114,2022-04-12T17:41:02.857Z,/detect/,200,222,218,57098,23399,ir,inbound|5000||,10.233.65.16
17,4023105114,2022-04-12T17:41:02.895Z,/detect/,200,159,158,77,23324,10.233.65.16,outbound|5001||backend-v2.facedetect-do.svc.cluster.local,10.233.93.22
18,4024105114,2022-04-12T17:41:03.014Z,/detect/,200,263,257,44351,21902,ir,inbound|5000||,10.233.65.16
19,4025105114,2022-04-12T17:41:03.023Z,/detect/,200,522,518,53288,25607,ir,inbound|5000||,10.233.65.16
20,4026105114,2022-04-12T17:41:03.033Z,/detect/,200,253,251,33464,12583,ir,inbound|5000||,10.233.65.16
21,4027105114,2022-04-12T17:41:03.038Z,/detect/,200,342,339,33081,16429,ir,inbound|5000||,10.233.65.16
22,4024105114,2022-04-12T17:41:03.042Z,/detect/,200,222,221,73,21827,10.233.65.16,outbound|5001||backend-v2.facedetect-do.svc.cluster.local,10.233.93.22
23,4025105114,2022-04-12T17:41:03.073Z,/detect/,200,462,461,75,25532,10.233.65.16,outbound|5001||backend-v2.facedetect-do.svc.cluster.local,10.233.93.22
24,4027105114,2022-04-12T17:41:03.081Z,/detect/,200,281,280,73,16354,10.233.65.16,outbound|5001||backend-v2.facedetect-do.svc.cluster.local,10.233.93.22
25,4026105114,2022-04-12T17:41:03.082Z,/detect/,200,193,192,74,12508,10.233.65.16,outbound|5001||backend-v2.facedetect-do.svc.cluster.local,10.233.93.22
26,4028105114,2022-04-12T17:41:03.085Z,/detect/,200,391,386,40654,15517,ir,inbound|5000||,10.233.65.16
27,4028105114,2022-04-12T17:41:03.114Z,/detect/,200,332,331,89,15442,10.233.65.16,outbound|5001||backend-v2.facedetect-do.svc.cluster.local,10.233.93.22
28,4029105114,2022-04-12T17:41:03.142Z,/detect/,200,243,240,41541,17213,ir,inbound|5000||,10.233.65.16
29,4029105114,2022-04-12T17:41:03.156Z,/detect/,200,210,209,75,17138,10.233.65.16,outbound|5001||backend-v2.facedetect-do.svc.cluster.local,10.233.93.22
30,4030105114,2022-04-12T17:41:03.157Z,/detect/,200,388,384,36635,14644,ir,inbound|5000||,10.233.65.16
31,4030105114,2022-04-12T17:41:03.169Z,/detect/,200,365,364,76,14569,10.233.65.16,outbound|5001||backend-v2.facedetect-do.svc.cluster.local,10.233.93.22
32,4031105114,2022-04-12T17:41:03.321Z,/detect/,200,319,316,40596,21607,ir,inbound|5000||,10.233.65.16
